Not Cached,Execution Time
84.585428,
37,576437
31,671762
37,971497
30,830383
32,030344
30,307293
30,570745
28,977156
37,430525
29,802799
33,913612
30,371904
31,744480
31,444073
34,917355
34,652710
30,850649
42,357683
29,521465
32,767534
28,493166
35,899401
36,473036
29,596806
32,423735
35,693169
37,435055
31,674385
37,995815
34,265518
Mean Time33,322016
