Esecuzione,Tempo (ms)

Non memorizzato nella cache,156,111478805542

33,002376556396484
22,994041442871094
22,031784057617188
11,77358627319336
26,981353759765625
19,000530242919922
17,999887466430664
17,03166961669922
16,536712646484375
53,0085563659668
14,990091323852539
14,03188705444336
13,550043106079102
13,994455337524414
11,999845504760742
11,997699737548828
10,996103286743164
10,001897811889648
10,0052356719970
9,99307632446289
10,011911392211914
11,523962020874023
11,995792388916016
13,010501861572266
9,994745254516602
10,996580123901367
13,009071350097656
9,996652603149414
11,99650764465332
10,023117065429688

Tempo Med 15,815989176432291

