Esecuzione,Tempo (ms)

Non memorizzato nella cache,247,13945388793945

56,60057067871094
14,99485969543457
17,000913619995117
12,993812561035156
14,013051986694336
16,004562377929688
15,540361404418945
5,275249481201172
28,45311164855957
16,989707946777344
16,.1574420928955
17,003297805786133
16,999244689941406
21,012306213378906
17,02404022216797
23,55790138244629
19,99974250793457
17,66228675842285
15,995979309082031
15,007257461547852
18,587350845336914
15,011072158813477
15,991449356079102
15,997648239135742
15,003442764282227
18,004655838012695
16,03388786315918
16,563892364501953
10,295629501342773
17,377376556396484

Tempo Medio 22,70507017771403

