Esecuzione,Tempo (ms)

Non memorizzato nella cache 260,4715824127197

53,582191467285156
40,9998893737793
30,579328536987305
23,995399475097656
25,582313537597656
24,9924659729003
24,563074111938477
23,024559020996094
23,011445999145508
92,59390830993652
20,00141143798828
19,99831199645996
20,035505294799805
19,56415176391601
19,003629684448242
18,87822151184082
16,808509826660156
17,034053802490234
17,560482025146484
15,999794006347656
19,004344940185547
14,99485969543457
17,998695373535156
18,0253982543945
17,569303512573242
18,000364303588867
14,990568161010742
15,009641647338867
16,99519157409668
16,038179397583008

Tempo Med 23,881173133850098

