Esecuzione,Tempo (ms)

Non memorizzato nella cache 178,786039352417

84,59806442260742
19,994020462036133
17,577648162841797
17,999887466430664
21,001338958740234
19,015073776245117
20,985126495361328
16,023874282836914
18,570899963378906
18,00990104675293
73,5621452331543
16,989707946777344
19,016265869140625
18,99242401123047
16,995668411254883
16,038894653320312
15,581130981445312
15,00248908996582
15,999317169189453
15,997648239135742
17,015457153320312
17,02260971069336
17,131805419921875
17,00139045715332
20,012378692626953
16,994476318359375
19,997358322143555
17,58027076721191
17,027854919433594
16,004085540771484
Tempo Medio 21,791307131449383

