Esecuzione,Tempo (ms)

Non memorizzato nella cache,284,36732292175293

62,563419342041016
18,00537109375
17,98844337463379
17,030954360961914
15,587091445922852
14,990568161010742
17,012596130371094
14,999151229858398
12,99142837524414
13,005495071411133
78,99022102355957
14,002084732055664
13,058185577392578
12,995481491088867
13,438224792480469
12,992620468139648
14,008760452270508
13,000249862670898
11,993646621704102
12,004613876342773
12,03775405883789
17,545700073242188
14,006376266479492
16,994476318359375
15,002250671386719
15,000343322753906
15,003204345703125
13,035297393798828
4,806995391845703
22,267580032348633
Tempo Med 18,211952845255535

