Esecuzione,Tempo (ms)

Non memorizzato nella cache,192,08407402038574

33,0047607421875
33,56647491455078
27,99201011657715
29,002666473388672
23,72884750366211
30,573606491088867
22,994518280029297
43,02072525024414
27,823209762573242
86,01641654968262
28,002500534057617
31,00275993347168
33,03861618041992
24,562597274780273
23,02265167236328
26,99136734008789
28,012990951538086
23,56123924255371
22,00031280517578
22,00150489807129
19,034862518310547
19,55866813659668
18,99862289428711
20,99752426147461
17,000198364257812
18,990755081176758
18,033504486083984
16,293048858642578
4,280805587768555
22,636890411376953

Tempo Medio,26,524821917215984

