Esecuzione,Tempo (ms)

Non memorizzato nella cache 311,6734027862549

102,5838851928711
21,04020118713379
23,044824600219727
26,000261306762695
19,018888473510742
18,970966339111328
20,0197696685791
20,587444305419922
17,999649047851562
19,994497299194336
88,13691139221191
19,001007080078125
20,004749298095703
21,587610244750977
18,99862289428711
16,008377075195312
16,002178192138672
16,997337341308594
17,034292221069336
16,562700271606445
15,006065368652344
15,006780624389648
15,990257263183594
17,01045036315918
17,99178123474121
17,555952072143555
4,207372665405273
26,108264923095703
13,998985290527344
13,994216918945312

Tempo Med 23,215476671854656

