Esecuzione,Tempo (ms)

Non memorizzato nella cache,233,3848476409912

84,54751968383789
16,988754272460938
20,040035247802734
18,52869987487793
18,010854721069336
7,434606552124023
23,877620697021484
14,999866485595703
14,994382858276367
18,581390380859375
80,9926986694336
17,027854919433594
15,566825866699219
20,9958553314209
18,987655639648438
17,99488067626953
14,03903961181640
17,565250396728516
15,999317169189453
16,99209213256836
17,00615882873535
16,994237899780273
15,015840530395508
16,568660736083984
15,990495681762695
13,985872268676758
15,013456344604492
14,99319076538086
13,007640838623047
13,002872467041016

Tempo Medio,20,858120918273926

