Esecuzione,Tempo (ms)

Non memorizzato nella cache  328,87341499328613

91,12930297851562
26,025056838989258
29,549837112426758
18,999576568603516
19,99664306640625
22,997617721557617
21,56662940979004
20,9958553314209
20,000696182250977
16,003847122192383
69,8854923248291
15,989303588867188
19,0126895904541
23,029565811157227
24,53303337097168
19,007444381713867
13,995885848999023
14,998674392700195
17,003536224365234
14,006614685058594
14,546871185302734
13,994455337524414
18,998384475708008
10,994434356689453
12,011528015136719
27,02808380126953
12,51840591430664
11,0015869140625
8,987903594970703
11,009931564331055

Tempo Med21,99396292368571

