Esecuzione,Tempo (ms)

Non memorizzato nella cache,231,40525817871094

94,45548057556152
18,00847053527832
33,95557403564453
24,978160858154297
22,587060928344727
21,998882293701172
19,100427627563477
23,006439208984375
18,020153045654297
18,118858337402344
64,98193740844727
18,01776885986328
20,533084869384766
17,000913619995117
17,00615882873535
15,999078750610352
13,98777961730957
13,022661209106445
14,524221420288086
13,998985290527344
14,997720718383789
13,997077941894531
12,999773025512695
17,003536224365234
12,015581130981445
10,998964309692383
11,523962020874023
10,004520416259766
11,996746063232422
9,997844696044922

Tempo Medio,20,96126079559326

