Esecuzione,Tempo (ms)

Non memorizzato nella cache,283,8277816772461

83,9700698852539
24,02186393737793
22,33123779296875
21,996021270751953
20,99132537841797
18,524169921875
19,563913345336914
16,998291015625
18,01276206970215
16,98780059814453
64,57114219665527
17,010211944580078
14,989852905273438
17,000436782836914
21,016836166381836
17,550230026245117
17,995357513427734
18,003225326538086
20,99299430847168
18,003225326538086
15,020608901977539
4,751920700073242
33,64062309265137
15,004396438598633
18,999814987182617
12,991666793823242
15,025615692138672
13,284444808959961
12,995481491088867
14,008522033691406

Tempo Medio 21,541802088419598

